"Work","Expression","Manifestation"
"W659","E647","M938"
"W660","E648","M939"
"W661","E649","M940"
"W662","E650","M941"
"W663","E651","M942"
"W664","E652","M943"
"W665","E653","M944"
"W666","E654","M945"
"W667","E655","M946"
"W668","E656","M947"
"W669","E657","M948"
"W670","E658","M949"
"W671","E659","M950"
"W672","E660","M951"
"W673","E661","M955"
"W674","E662","M956"
"W675","E663","M957"
"W676","E664","M958"
"W677","E665","M959"
"W678","E666","M960"
"W679","E667","M961"
"W680","E668","M962"
"W681","E669","M963"
"W682","E670","M964"
"W683","E671","M965"
"W684","E672","M967"
"W685","E673","M968"
"W686","E674","M969"
"W687","E675","M970"
"W688","E676","M971"
"W689","E677","M972"
"W690","E678","M973"
"W691","E679","M974"
"W692","E680","M975"
"W693","E681","M976"
"W694","E682","M977"
"W695","E683","M978"
"W696","E684","M979"
"W697","E685","M980"
"W698","E686","M981"
"W699","E687","M982"
"W700","E688","M983"
"W701","E689","M984"
"W702","E690","M985"
"W703","E691","M986"
"W704","E692","M987"
"W705","E693","M988"
"W706","E694","M989"
"W707","E695","M990"
"W708","E696","M991"
"W709","E697","M992"
"W710","E698","M993"
"W711","E700","M995"
"W712","E701","M996"
"W713","E702","M997"
"W714","E703","M998"
"W715","E704","M999"
"W716","E705","M1000"
"W717","E706","M1001"
"W718","E707","M1002"
"W719","E708","M1003"
"W720","E709","M1004"
"W721","E710","M1005"
"W722","E711","M1006"
"W723","E714","M1009"
"W724","E715","M1010"
"W725","E716","M1011"
"W726","E717","M1012"
"W727","E718","M1013"
"W728","E720","M1016"
"W729","E721","M1017"
"W730","E722","M1018"
"W731","E723","M1019"
"W732","E724","M1021"
"W733","E725","M1022"
"W734","E726","M1023"
"W735","E728","M1025"
"W736","E729","M1026"
"W737","E730","M1027"
"W738","E731","M1028"
"W739","E732","M1029"
"W740","E733","M1030"
"W741","E734","M1031"
"W742","E735","M1032"
"W743","E736","M1033"
"W744","E737","M1034"
"W745","E738","M1035"
"W746","E739","M1036"
"W747","E740","M1037"
"W748","E741","M1038"
"W749","E743","M1040"
"W750","E744","M1041"
"W751","E745","M1042"
"W752","E746","M1043"
"W753","E747","M1044"
"W754","E748","M1045"
"W755","E749","M1046"
"W756","E750","M1047"
"W757","E751","M1048"
"W758","E752","M1049"
"W759","E753","M1051"
"W760","E754","M1053"
"W761","E755","M1054"
"W762","E756","M1055"
"W763","E757","M1056"
"W764","E758","M1057"
"W765","E759","M1058"
"W766","E760","M1059"
"W767","E761","M1060"
"W768","E762","M1061"
"W769","E763","M1062"
"W770","E765","M1064"
"W771","E766","M1065"
"W772","E767","M1066"
"W773","E768","M1067"
"W774","E769","M1068"
"W775","E772","M1071"
"W776","E773","M1073"
"W777","E774","M1074"
"W778","E775","M1076"
"W779","E776","M1077"
"W780","E777","M1078"
"W781","E778","M1079"
"W782","E779","M1081"
"W783","E780","M1082"
"W784","E781","M1083"
"W785","E782","M1084"
"W786","E783","M1085"
"W787","E784","M1086"
"W788","E785","M1087"
"W789","E786","M1088"
"W790","E787","M1089"
"W791","E788","M1090"
"W792","E789","M1092"
"W793","E790","M1093"
"W794","E791","M1094"
"W795","E792","M1095"
"W796","E793","M1097"
"W797","E794","M1098"
"W798","E795","M1100"
"W799","E796","M1101"
"W800","E797","M1102"
"W801","E798","M1103"
"W802","E799","M1104"
"W803","E800","M1105"
"W804","E801","M1106"
"W805","E802","M1107"
"W806","E803","M1108"
"W807","E804","M1109"
