"Work","Expression","Manifestation","Title","Lang","Author"
"W1057","E1059","M1391","Pressa, non oppressa fidelitas","Latin","Augustinians of Gent"
"W1058","E1060","M1392","Quo semel est imbuta recens servabit odorem testa ","Latin","Jesuits of Ieper"
"W1059","E1061","M1393","Salomon et Adonias","Latin","Jesuits of Ieper"
"W1060","E1062","M1394","Typhlogenomenus","Latin","Jesuits of Ieper"
"W1061","E1063","M1395","Un garçon nommé Bononte","French","Jesuits of Bergues"
"W1062","E1064","M1396","Vindicta divina sive Balthassar","Latin","Augustinians of Antwerpen"
"W1063","E1065","M1397","Vreyheydt der kercke bevochten door Henricus, besc","Dutch","Augustinians of Dendermonde"
"W1064","E1066","M1398","Sedecias","Dutch","Jesuits of Bailleul"
"W1065","E1067","M1399","Antichrist","Dutch","Jesuits of Aalst"
"W1066","E1068","M1400","Athalia","Dutch","Jesuits of Bailleul"
"W1067","E1069","M1401","Blasphemia punita","Latin","Augustinians of Antwerpen"
"W1068","E1070","M1402","Boer door loosen treck, en uytgevonden raet, die k","Dutch","Augustinians of Brugge"
"W1069","E1071","M1403","Coliphonius","Latin","Jesuits of Gent"
"W1070","E1072","M1404","Constantini Orientis Imperatoris","Latin","Jesuits of Ieper"
"W1071","E1073","M1405","Core, Dathan et Abiron","Latin","Jesuits of Ieper"
"W1072","E1074","M1406","Cyrus Persarum rex","Latin","Jesuits of Roermond"
"W1073","E1075","M1408","Diogenes Romanus","Latin","Augustinians of Gent"
"W1074","E1076","M1409","Dulce bellum inexpertis","Latin","Jesuits of Roermond"
"W1075","E1077","M1411","Fuga Mundi in Bernardo et Fratribus","Latin","Jesuits of Maastricht"
"W1076","E1078","M1412","Fuga sancti Josephi in Aegyptum","Latin","Jesuits of Ieper"
"W1077","E1079","M1413","Goddelycke vraeck ofte Balthassar Chaldeusche Coni","Dutch","Augustinians of Brugge"
"W1078","E1080","M1414","Heliodorus","Latin","Jesuits of Ieper"
"W1079","E1081","M1415","Helsche geesten","Dutch","Jesuits of Aalst"
"W1080","E1082","M1416","Imperii sacrilega tyrannide foedati","Latin","Augustinians of Gent"
"W1081","E1083","M1417","Isaac","French","Jesuits of Dunkerque"
"W1082","E1084","M1418","Jesus in templo inventus","Latin","Jesuits of Kortrijk"
"W1083","E1085","M1419","Jonathas Apphus","Latin","Jesuits of Gent"
"W1084","E1087","M1421","Lazarus a mortuis excitatus","Latin","Jesuits of Ieper"
"W1085","E1088","M1422","Pergentinus en Laurentius broeders","Dutch","Jesuits of Aalst"
"W1086","E1089","M1423","Philobertus Nauta","Latin","Augustinians of Antwerpen"
"W1087","E1090","M1424","Pictoribus alta potestas","Latin","Augustinians of Gent"
"W1088","E1091","M1425","Poliodorus rusticus","Latin","Augustinians of Gent"
"W1089","E1092","M1427","S. Josephus perditum jesulum quaeritans","Latin","Jesuits of Kortrijk"
"W1090","E1093","M1428","Salome","Latin","Jesuits of Gent"
"W1091","E1094","M1430","Solymannus","Latin","Jesuits of Ieper"
"W1092","E1095","M1431","Stanislaus Kostka","Dutch","Jesuits of Bailleul"
"W1093","E1096","M1432","Wambanus","Latin","Jesuits of Kortrijk"
"W1094","E1097","M1433","Wyngaerd des Heeren ofte Abessalom","Dutch","Oratorians of Mechelen"
"W1095","E1098","M1434","Zacharias","Latin","Jesuits of Gent"
"W1096","E1099","M1435","Sedecias","Dutch","Jesuits of Armentières"
"W1097","E1100","M1436","Alamus","Latin","Jesuits of Kortrijk"
"W1098","E1101","M1437","Alludit patiens patienti Mopsus Iöbo","Latin","Augustinians of Gent"
"W1099","E1102","M1438","Calvinus","Latin","Jesuits of Kortrijk"
"W1100","E1103","M1439","Christus patiens","Latin","Augustinians of Gent"
"W1101","E1104","M1440","Cyrinus","Latin","Jesuits of Gent"
"W1102","E1105","M1441","Damon et Pythias","Latin","Jesuits of Mechelen"
"W1103","E1106","M1442","Diogenes Romanus","Latin","Augustinians of Antwerpen"
"W1104","E1107","M1443","Exodus","Latin","Jesuits of Ieper"
"W1105","E1108","M1445","Fraus fraude punita","Latin","Augustinians of Antwerpen"
"W1106","E1109","M1446","Fremundus sone van den Hertog van Algaria de werel","Dutch","Jesuits of Aalst"
"W1107","E1110","M1447","Ioannes Baptista ab Herode, Galilaeae Tetrarcha, c","Latin","Augustinians of Antwerpen"
"W1108","E1111","M1448","Joannes puer impus parricida","Latin","Augustinians of Gent"
"W1109","E1112","M1449","Job","Latin","Augustinians of Gent"
"W1110","E1113","M1451","Judocus","Latin","Jesuits of Gent"
"W1111","E1114","M1452","Kesius ex Piscatore miles rusticum decepit","Latin","Augustinians of Antwerpen"
"W1112","E1115","M1453","Keyser Carel den Vijfden vraeck nemende over Joann","Dutch","Augustinians of Dendermonde"
"W1113","E1116","M1454","Ludovicus Imperator à filiis suis orbatus imperio","Latin","Augustinians of Antwerpen"
"W1114","E1117","M1455","Maria Magdalenæ ad sepulchrum domini","Latin","Jesuits of Ieper"
"W1115","E1118","M1456","Ostanus et Taphernes","Latin","Jesuits of Ieper"
"W1116","E1119","M1457","Pantamatesterus","Latin","Jesuits of Gent"
"W1117","E1120","M1458","Paulus fugiens","Latin","Jesuits of Maastricht"
"W1118","E1121","M1459","Rebecca a creditoribus vexata","Latin","Jesuits of Ieper"
"W1119","E1122","M1461","Sapor","Latin","Jesuits of Gent"
"W1120","E1123","M1462","Saul","French","Jesuits of Bergues"
"W1121","E1124","M1463","Sedecias","Latin","Jesuits of Kortrijk"
"W1122","E1125","M1464","Servus nequam","Latin","Jesuits of Kortrijk"
"W1123","E1127","M1466","Stultus stultitiâ luditur ipse sua","Latin","Augustinians of Gent"
"W1124","E1128","M1467","Superbo Sapori alludit Iphaniophilus","Latin","Jesuits of Gent"
"W1125","E1129","M1468","Theodemena","Dutch","Jesuits of Oudenaarde"
"W1126","E1130","M1469","Theodoricus","Latin","Jesuits of Ieper"
"W1127","E1131","M1470","Thomas Coninck van Arima door keyser Daifusama omg","Dutch","Jesuits of Aalst"
"W1128","E1132","M1471","Tite Japon","French","Jesuits of Bergues"
"W1129","E1133","M1472","Vinitor","Latin","Jesuits of Mechelen"
"W1130","E1138","M1477","Theognostus","Latin","Oratorians of Mechelen"
"W1131","E1139","M1478","Jaddus","Latin","Jesuits of Ieper"
"W1132","E1140","M1479","Athalia","Dutch","Jesuits of Kortrijk"
